city,state,country,postcode
novi,US-MI,US,48374
Sacramento,US-CA,US,95834
El Cajon ,US-CA,US,92019
La Puente,US-CA,US,91744
Moreno Valley,Ca,US,92553 
Minneapolis,,US,55404
McCamey,,US,79752
Raleigh,NC,US,27603
Batesville ,Ar.,US,72501
Huntington Beach ,Ca,US,92648
Philadelphia ,PA ,US,19143 
Atlanta ,US-GA,US,30315
Carlifonia,Us state,US,90201
Decatur,US-GA,US,30034
Cudahy,California,US,90201
SAN BERNARDINO,US-CA,US,92410
Browsed,US-AL,US,44636
Mchenry,US-IL,US,60051
Methuen ,Ma.,US,01844
Rancho Cordova,US-CA,US,95670
Hagerstown,US-MD,US,21740
Los Angeles,California,US,90001
Phoenixville,Pa,US,19460
South Bend,US-IN,US,46617
Knoxville ,Tennessee ,US,37914
Rocky Mount,NC,US,27804
Jas,Alasks,US,810
Chicago,Il,US,60651
Columbus,Ohio,US,43211
Toledo,US-OH,US,43615
Chula Vista,CA,US,91911
Baton Rouge,La,US,70806
Atlanta,Ga,US,30308
Dickinson,Texas,US,77539
Detroit ,Michigan ,US,48205 
Pascagoula,Ms,US,39567
Kingsland,Georgia,US,31548
Gary,In,US,46403
mobile ,,US,33610
Maywood,Il,US,60153
Tyler,US-TX,US,75701
Chicago ,US-IL,US,60613
Detroit ,Mi ,US,48228
chula vista,,US,91910
Rio Rancho,US-NM,US,87144
Seale  ,US-AL,US,36875
monte,US-DE,US,77053
Gainesville ,Ga,US,30506
Upper Darby,US-PA,US,19082
Westminster,US-MD,US,21157
Philadelphia,Pa,US,19124
Fort Worth,Texas,US,76116
Dublin,Ohio,US,43016
Stevens Point,WI,US,54481
Sheffield,Al,US,35660
Sacramento,US-CA,US,95829
houston,US-TX,US,77019
Park Forest ,Illinois,US,60466
adelaide,south Australia ,US,5086
bingham farms ,US-MI,US,48025
lexington,US-KY,US,40515
Lowell,US-MA,US,01851
Norton Shores,Michigan,US,49441
Suffolk ,VA,US,23434
Chicago,Illinois,US,60639
Ridgeland,Mississippi,US,39157
Los Angeles,Ca,US,90017
Wilbraham ,Ma ,US,01095
Peabody,,US,01960
Milwaukee ,Wisconsin ,US,53209
Deptford,New Jersey ,US,08096 
Colorado,US-CO,US,80201
Georgia,Atlanta ,US,628
Brooklyn,New York ,US,11212
Hibbing,Minnesota,US,55746
San Francisco ,US-CA,US,94112
Compton,CA,US,90220
Southaven ,Ms,US,38672
Fontana,CA,US,92335
Tompkinsville,US-KY,US,42167
Phoenix ,Arizona ,US,85032
Sayreville,US-NJ,US,08859
Tucson,Arizonal,US,85713
Crystal Lake,Illinois,US,60014
Crawfordsville,Indiana,US,47903
Gainesville,Florida,US,32605
Mt Morris,MI,US,48458-9728
Memphis,US-TN,US,38108
Detroit,Michigan,US,48204
Tonkawa,,US,74653
Oxford,MS,US,38655
Indianapolis,IN,US,46254
Eagle Pass,TX,US,78852
Upper Marlboro ,Md,US,20774
sherman,,US,75090
Queens Village ,NY,US,11429
Trinity,NC,US,27370
San Jose,California,US,95131
Riverside,US-CA,US,92505
Lakeside,US-CA,US,92040
Los Angeles,US-CA,US,90036
Hot Springs,US-AR,US,71901
Terre Haute,US-IN,US,47805
Irving,US-TX,US,75039
Allentown,US-PA,US,18102
Hillside,Nj,US,07205
Norton Shores,MI,US,49444
Hamtramck,Michigan,US,48212
Olive Branch ,Ms,US,38654
Garden Grove,US-CA,US,92840
Virginia Beach ,VA ,US,23456 
Mansfield,Texas ,US,76063
Dry Ridge,Ky,US,41035
Hampstead,US-MD,US,21074
Detroit ,MICHIGAN ,US,48203 
lynnwood,US-CA,US,98036
concord,new Hampshire ,US,03301
Houston,TX,US,77084
Upper Marlboro,US-MD,US,20774
Virginia Beach,Va,US,23464
Norwood,,US,02062
Fountain,Colorado,US,80817
Montgomery ,Al,US,36116
Houston,Texas,US,77701
San Antonio,US-TX,US,78212
Houston,Texas,US,77065
Seaside ,California ,US,93955
Newark ,Nj,US,07112
Dallas,US-TX,US,75231
Speedway ,Indiana ,US,46224
Fultondale,AL,US,35068
Laurel,Md,US,20707
Chicago,US-IL,US,60645
Dallas,Texas,US,75211
Modesto,Ca.,US,95351
Detroit,Mi,US,48219
Miami ,US-FL,US,63290
Palmda,California,US,93550
San Diego,US-CA,US,92122
Rush Springs,US-OK,US,73082
Longview,Tx.,US,75602
detroit,,US,48127
San Diego,US-CA,US,92110
Torrance,US-CA,US,90505
San Jose ,California ,US,95133 
Evans Mills ,Ny,US,13637
Arlington,TX ,US,76018
Snellville,Ga,US,30039
San Diego,California,US,92105
Los angeles,Ca,US,90068
Milwakee,US-WI,US,53233
Roxbury,US-MA,US,02119
Thompson Ga,Georgia ,US,30824
Atlanta ,US-GA,US,30349
Elmore,US-OH,US,43416
Isanti,US-MN,US,55040
Dalton,GA,US,30720
DETROIT,Mi,US,48234
Alexandria,VA,US,22314
Huntington Park,CA,US,90255-6034
louisville,US-TN,US,37777
Springville,Alabama,US,35146
Lawton,Oklahoma,US,73507
Los Angeles,California,US,90019
Kansas City,US-KS,US,66101
Haslett,US-MI,US,48840
Bradley,Georgia ,US,30909
Silver spring ,,US,20910
Denver ,CO ,US,80205 
Augusta,US-GA,US,30906
Washington ,US-AK,US,99501
Qanutico,Maryland ,US,21856
Bloomington ,Illinois ,US,61704 
Wellington ,US-FL,US,33449
Silver spring,MD,US,20901
Bridgewater,US-MA,US,02324
Philadelphia,Pennsylvania,US,19140
Ozark,US-MO,US,65721
Reno,Nevada,US,89512
Morehead City,NC,US,28557
Pittsburg,US-CA,US,94565
Roseville,California,US,95661
Milwaukee,WI,US,53216-3806
Quitman,Georgia,US,31643
Houston,Texas,US,77024
Hialeah ,Fl,US,33010
Milwaukee,Wi,US,53209
Branson,,US,65616
Minneapolis,,US,55419
Phoenix,US-AZ,US,85044
Norway ,Sc,US,29113
Kearny,NJ,US,07032
Detroit,Michigan,US,48224
Dallas,Texas,US,75205 
Bessemer,Al,US,35020
Burnsville,,US,55337
Los angeles,,US,90001
North Easton,Massachusetts,US,02356
Statesboro,GA,US,30458
Philadelphia,US-PA,US,19143
Houston,Tx,US,77035
Milwaukee,Wisconsin,US,53202
StoneMountain,Ga,US,30083
Huntsville,Texas,US,77340
Jonesboro,US-GA,US,30236
Helena,AL,US,35080
San Jose,US-CA,US,95119
Phoenix,Arizona,US,85041
Wheatridge ,Colorado,US,80033
Bakersfield,California,US,93311
Annapolis ,Md ,US,21403
Ontario ,US-CA,US,91762
Sausalito,Ca,US,94965
GAITHERSBURG,,US,20877
Paramus ,New Jersey,US,07652
Boston,Massachusetts,US,02114
Katy ,Texas,US,77449
Myrtle Beach ,South Carolina ,US,29572 
Greenwood,US-IN,US,46143
Midwest City ,Oklahoma ,US,73110
ROCK ISLAND,US-IL,US,61201
Manheim,Pennsylvania,US,17545
Hercules ,US-CA,US,94547
Washington ,NC ,US,27889 
Atlanta,Georgia,US,30311
Roseville,Mi,US,48066 
Houston ,TX ,US,77098 
montgomery,,US,36104
las vegas ,US-NV,US,89119
Oneonta,Al,US,35121
Columbus,Ohio,US,43207
Kansas City,Kansas ,US,66103
New caney,US-TX,US,77357
Wampum,,US,16157
Las Vegas,,US,89130
West Columbia,US-SC,US,29170
New jersey,,US,08902
Mcveytown ,Pa,US,17051
NEWNAN,US-GA,US,30265
Littleton,US-CO,US,80162
Rochester,US-MN,US,55906
Iowa City,Iowa,US,52245
